discharge_rate,charge_rate,ambient_temperature,battery_temperature,label
0.87,2.11,10.74,21.51,2
2.71,2.14,27.23,32.31,2
2.6,1.12,26.58,54.18,3
2.03,1.61,38.53,40.52,0
2.17,1.25,11.95,39.79,1
2.81,0.68,17.84,40.3,2
0.98,1.53,36.51,59.75,3
2.94,0.98,26.71,50.36,3
0.89,0.77,26.77,23.65,0
1.36,2.44,14.16,34.42,2
1.34,1.78,21.22,30.14,0
2.54,0.62,21.18,35.91,2
0.57,2.02,22.49,32.33,2
1.15,1.63,43.12,21.7,0
2.82,1.61,40.38,37.79,2
2.1,1.58,23.88,20.87,0
2.53,1.36,11.25,40.94,2
1.18,0.53,32.13,50.16,3
2.63,1.32,11.07,33.94,2
1.62,1.91,26.1,49.5,0
1.35,2.35,31.52,24.89,2
2.9,0.71,11.14,50.57,3
0.62,1.08,18.66,49.85,0
0.75,0.7,44.82,57.55,3
2.13,1.44,32.95,39.49,0
2.9,1.38,10.37,42.25,2
1.19,1.32,10.67,57.27,3
2.7,2.42,33.57,35.86,2
1.57,2.08,39.49,47.74,2
2.27,1.47,30.49,24.32,0
1.13,0.7,26.51,53.39,3
1.77,1.03,44.94,47.56,0
2.46,1.57,40.58,45.07,0
0.82,1.05,27.87,24.52,0
2.15,1.42,34.7,30.33,0
1.59,0.79,32.06,52.74,3
1.67,1.96,37.04,41.08,0
0.97,0.53,34.56,44.75,0
0.85,0.85,10.6,51.28,3
1.32,0.63,21.22,32.89,0
1.01,1.66,32.15,54.07,3
2.97,0.86,32.34,21.75,2
1.75,1.71,11.86,52.78,3
2.66,0.95,37.3,48.4,2
0.77,2.15,20.05,31.47,2
0.8,1.29,23.99,57.93,3
2.59,1.33,30.68,20.07,2
2.29,2.44,17.79,56.58,3
2.31,0.9,44.67,38.87,0
1.55,1.5,29.74,26.72,0
2.14,1.39,26.04,41.03,0
0.82,1.48,12.48,21.04,1
0.65,1.11,27.15,56.55,3
2.22,1.69,31.04,33.63,0
1.49,1.92,40.32,25.94,0
1.23,2.07,10.62,24.42,2
2.1,1.07,32.47,43.04,0
1.4,0.86,36.32,34.64,0
0.54,1.92,34.1,28.31,0
0.53,0.75,22.65,34.94,0
2.9,1.16,42.96,46.62,2
2.89,2.12,28.45,45.49,2
0.5,2.26,42.04,25.99,2
2.81,2.29,25.85,31.05,2
0.56,0.8,29.79,53.23,3
1.44,1.26,33.7,22.98,0
0.57,0.77,34.98,51.91,3
3.0,0.65,30.44,59.81,3
1.19,1.96,37.39,49.8,0
0.77,1.41,16.74,57.31,3
2.81,2.49,22.68,28.84,2
0.93,2.11,15.5,31.89,2
2.93,1.26,26.62,39.81,2
0.88,0.84,10.32,42.22,1
1.58,2.03,24.52,59.33,3
2.47,0.7,35.05,30.49,0
2.4,1.04,41.43,44.55,0
1.53,2.18,17.33,42.8,2
2.63,1.83,35.8,24.01,2
1.71,2.32,34.64,42.01,2
2.27,1.64,33.94,44.56,0
2.03,0.66,40.64,51.22,3
1.61,1.49,37.44,43.41,0
2.24,1.4,10.3,33.18,1
0.57,1.34,25.96,32.5,0
0.72,2.28,14.18,24.57,2
1.77,2.22,16.84,42.54,2
1.27,1.14,13.15,58.57,3
2.36,0.69,39.4,58.42,3
1.75,1.59,29.73,24.66,0
2.08,1.76,25.42,47.57,0
0.54,1.71,24.48,38.79,0
0.78,1.85,13.81,33.38,1
1.43,2.21,37.86,33.56,2
1.23,0.93,34.85,47.34,0
2.98,0.75,21.71,51.86,3
2.61,2.33,39.78,58.41,3
1.51,1.96,39.82,28.49,0
1.84,2.4,12.24,36.63,2
2.29,1.35,38.45,24.53,0
