discharge_rate,charge_rate,ambient_temperature,battery_temperature,label
2.15,0.54,31.8,20.13,0
1.86,1.2,11.16,53.17,3
0.91,0.8,20.29,30.95,0
1.17,2.27,17.86,28.35,2
2.43,2.05,13.93,50.9,3
2.52,0.75,34.26,36.85,2
2.21,0.5,12.46,28.3,1
2.9,2.38,18.97,43.7,2
1.6,2.01,13.24,53.32,3
2.72,2.31,11.95,39.67,2
2.11,2.2,23.14,20.52,2
2.09,2.19,43.04,23.21,2
2.72,2.49,21.3,44.85,2
2.75,0.81,18.92,38.58,2
1.41,1.09,36.48,43.88,0
2.58,2.03,19.72,25.06,2
2.38,0.71,13.95,31.0,1
1.32,1.52,25.1,42.89,0
2.01,2.29,30.61,32.72,2
1.86,1.37,14.41,41.73,1
0.94,2.45,11.69,21.93,2
2.9,1.29,21.16,33.73,2
2.04,1.77,34.41,34.28,0
2.14,0.58,27.88,21.8,0
1.69,1.23,16.34,39.89,0
2.65,1.95,37.39,38.9,2
2.25,1.79,23.68,57.04,3
1.02,1.06,27.8,39.12,0
2.69,0.82,39.5,43.21,2
0.63,1.72,16.92,45.72,0
0.83,1.5,15.58,21.4,0
0.99,1.11,29.08,23.04,0
2.87,0.73,17.32,23.21,2
2.72,2.28,19.1,43.78,2
1.8,2.46,43.16,44.43,2
0.83,2.37,30.65,30.82,2
2.45,2.07,43.88,24.7,2
1.41,1.06,32.06,38.62,0
1.1,1.99,38.68,25.76,0
1.64,1.69,32.2,48.19,0
0.51,1.92,16.19,54.33,3
1.52,1.53,35.93,34.25,0
2.64,0.67,21.4,48.51,2
2.62,1.24,16.81,25.38,2
0.99,2.5,25.62,26.1,2
1.17,1.43,16.08,59.01,3
1.37,0.72,41.01,56.69,3
2.48,1.72,40.24,34.9,0
1.93,1.32,44.87,45.81,0
0.88,0.96,23.15,56.6,3
1.16,2.03,13.3,31.02,2
0.76,1.58,30.47,34.26,0
1.49,1.49,40.27,58.72,3
1.59,1.11,12.13,44.31,1
2.05,1.85,22.79,46.59,0
1.1,1.55,33.62,29.59,0
0.71,0.7,35.02,43.93,0
2.33,1.42,33.78,22.29,0
1.2,2.28,42.94,31.13,2
0.84,0.54,42.95,36.41,0
1.58,1.84,18.18,23.69,0
0.88,0.64,39.35,44.07,0
1.05,1.58,34.77,48.02,0
0.87,1.54,22.74,50.07,3
0.89,1.49,43.28,22.06,0
0.5,1.52,25.76,33.91,0
2.53,1.34,34.81,49.77,2
0.81,1.86,28.1,34.93,0
2.08,0.88,43.87,24.49,0
2.73,1.76,43.53,30.72,2
0.7,1.0,31.97,53.18,3
2.87,1.2,11.44,35.2,2
1.65,1.54,41.22,31.21,0
2.84,2.25,43.19,40.97,2
1.68,1.52,42.77,29.97,0
2.47,1.91,19.66,40.51,0
2.87,0.84,30.07,26.34,2
1.63,2.34,10.07,25.28,2
2.96,0.86,17.28,21.84,2
1.11,1.12,41.93,56.99,3
2.31,2.12,14.86,45.76,2
2.86,2.49,24.25,34.33,2
1.1,0.69,25.8,24.67,0
0.7,2.2,34.76,42.7,2
1.53,0.97,26.73,55.23,3
0.91,1.15,24.88,34.7,0
2.04,1.52,21.64,49.39,0
0.69,1.39,10.24,21.56,1
2.18,2.36,27.13,52.21,3
1.6,2.11,40.06,31.3,2
1.89,2.46,29.82,25.68,2
2.09,1.96,14.34,58.98,3
2.59,1.03,33.29,47.2,2
2.5,2.33,26.51,31.96,2
1.2,2.25,43.01,29.34,2
0.56,1.93,22.18,51.2,3
1.47,1.86,11.46,56.83,3
2.8,1.35,17.53,53.47,3
0.87,0.63,27.39,29.63,0
0.8,1.54,18.18,25.27,0
