discharge_rate,charge_rate,ambient_temperature,battery_temperature,label
2.6,0.92,24.47,42.52,2
0.76,1.32,29.15,43.23,0
0.97,1.75,44.81,41.46,0
2.01,1.69,30.93,42.86,0
2.27,2.4,16.39,21.51,2
2.75,2.33,16.42,36.04,2
1.8,1.58,27.59,41.17,0
1.28,0.7,42.96,44.23,0
2.01,1.23,32.84,20.02,0
2.82,2.31,25.44,35.87,2
0.5,2.34,16.69,43.45,2
2.87,0.64,27.0,20.63,2
1.88,1.65,11.13,30.64,1
2.21,0.65,31.19,42.6,0
2.95,1.11,37.23,49.44,2
1.54,0.65,34.48,51.65,3
1.05,2.2,22.53,46.54,2
2.33,2.02,23.99,53.0,3
1.68,1.92,16.62,34.65,0
0.57,0.93,36.5,35.19,0
2.87,2.29,17.58,41.7,2
1.59,1.08,32.33,59.05,3
2.71,2.05,42.96,32.06,2
1.29,1.6,37.14,37.2,0
1.34,2.16,24.28,26.01,2
2.92,1.21,37.54,31.28,2
2.62,0.95,25.96,37.96,2
1.16,1.73,41.5,32.81,0
1.64,1.9,26.08,49.78,0
2.96,0.94,36.24,47.14,2
2.85,1.96,43.71,55.85,3
2.02,2.28,23.52,22.05,2
0.74,2.33,15.62,48.09,2
2.44,0.52,16.69,48.22,0
2.48,1.49,26.37,42.12,0
0.64,0.69,18.26,29.65,0
2.41,1.92,20.54,33.9,0
0.66,0.89,13.28,44.57,1
2.9,1.01,13.49,46.02,2
2.94,1.98,39.06,20.57,2
2.56,1.6,21.7,28.68,2
2.09,1.8,21.08,32.44,0
0.96,1.59,19.66,59.63,3
2.23,2.3,37.5,56.71,3
2.53,2.46,43.02,29.32,2
1.67,2.04,26.99,28.93,2
1.69,1.44,30.57,26.87,0
1.21,2.45,22.42,21.41,2
2.14,0.83,12.97,52.45,3
1.52,2.12,34.01,42.46,2
1.63,1.77,33.41,44.65,0
1.99,2.11,20.92,43.25,2
1.02,1.14,11.62,22.98,1
2.32,1.84,40.15,35.33,0
1.48,2.07,18.19,48.64,2
0.62,1.38,26.52,33.44,0
0.87,2.34,19.45,47.73,2
1.29,2.16,30.28,45.27,2
2.38,1.53,33.24,49.94,0
0.65,1.8,42.48,42.89,0
2.55,2.17,20.19,49.15,2
1.73,0.83,35.38,55.19,3
2.56,2.03,37.23,57.25,3
1.16,0.79,13.29,31.26,1
0.92,0.98,27.37,54.55,3
1.27,1.72,18.38,58.31,3
0.5,1.22,25.22,27.3,0
2.99,1.99,37.04,48.04,2
1.82,0.7,33.67,38.68,0
0.82,1.78,17.22,45.32,0
1.2,1.61,33.52,47.49,0
1.28,1.13,36.17,52.15,3
2.14,0.58,29.26,54.77,3
1.99,2.19,44.45,40.51,2
1.85,0.96,19.4,42.52,0
1.1,1.61,12.15,46.16,1
2.78,0.58,11.82,32.17,2
2.73,1.59,34.36,41.89,2
1.13,0.75,37.98,54.13,3
2.04,1.99,33.4,22.53,0
0.52,2.12,12.72,41.4,2
2.23,2.1,13.5,52.58,3
2.12,0.88,36.14,53.39,3
2.11,1.82,13.9,21.94,1
0.97,1.32,19.39,47.39,0
1.29,1.69,16.17,37.84,0
2.4,1.3,32.28,53.1,3
2.26,0.95,28.91,21.89,0
1.03,2.47,26.88,40.02,2
2.4,1.01,18.3,29.5,0
1.47,0.55,29.85,26.37,0
2.95,2.44,11.57,59.91,3
0.71,2.0,19.49,34.56,0
1.42,0.91,11.85,59.21,3
2.2,1.98,31.33,57.75,3
2.71,0.51,22.31,57.13,3
2.88,1.36,34.17,40.22,2
2.56,0.86,25.77,25.64,2
2.4,1.85,13.74,52.52,3
2.86,0.76,27.43,26.66,2
