discharge_rate,charge_rate,ambient_temperature,battery_temperature,label
2.54,2.5,39.96,56.56,3
1.07,1.04,30.95,32.95,0
1.09,1.31,42.03,32.9,0
1.43,0.78,27.17,34.51,0
2.71,1.05,34.05,43.22,2
2.31,1.26,26.52,21.86,0
2.74,2.43,26.93,46.68,2
1.69,1.63,31.6,44.97,0
0.82,1.5,36.84,41.59,0
2.78,1.82,38.91,54.45,3
2.03,0.58,16.75,33.36,0
0.98,2.23,23.3,23.63,2
1.89,1.86,36.57,23.22,0
1.33,0.82,27.27,22.92,0
2.13,1.63,30.61,45.16,0
1.87,1.98,12.61,27.68,1
2.36,1.58,17.08,34.86,0
0.74,1.56,11.53,20.53,1
1.11,2.45,26.48,39.16,2
1.88,2.03,22.91,33.21,2
1.31,1.66,39.75,56.42,3
1.75,2.35,30.59,33.72,2
1.37,2.15,10.85,21.33,2
1.58,1.8,19.41,34.49,0
1.05,1.03,42.46,32.47,0
2.54,1.03,43.16,25.63,2
2.56,0.78,26.8,34.76,2
1.0,0.71,12.39,31.0,1
0.99,1.96,38.2,47.25,0
1.55,0.51,23.97,33.36,0
1.11,1.46,41.64,50.88,3
2.2,1.43,16.98,29.45,0
2.55,0.86,37.86,52.02,3
0.64,2.46,25.63,36.25,2
1.71,1.57,43.45,20.94,0
0.86,1.17,44.95,23.22,0
2.81,2.26,39.58,59.39,3
2.05,0.91,38.97,56.67,3
2.67,1.22,42.77,22.62,2
1.53,1.36,15.89,31.01,0
1.52,1.97,26.68,40.05,0
2.39,0.92,36.35,50.08,3
2.31,1.87,41.2,39.28,0
0.57,2.07,12.06,33.26,2
2.94,0.95,29.58,36.63,2
1.59,1.9,27.34,40.11,0
2.9,0.73,23.67,44.06,2
1.18,1.28,11.95,52.37,3
2.29,1.3,23.82,26.18,0
1.44,0.9,38.76,57.78,3
2.43,0.58,23.35,31.96,0
1.18,1.39,11.37,28.52,1
1.25,1.41,20.71,40.74,0
0.73,0.7,20.69,48.34,0
2.73,2.15,24.28,42.35,2
1.45,1.62,19.76,49.64,0
2.89,1.26,20.38,38.48,2
2.65,1.67,35.64,47.06,2
0.61,0.65,41.23,46.76,0
2.63,1.08,35.5,29.59,2
1.38,2.24,16.26,22.47,2
1.8,1.09,33.85,29.35,0
1.85,0.99,41.84,31.25,0
2.06,2.28,22.92,31.42,2
2.85,1.21,24.3,49.01,2
2.26,2.39,27.82,20.77,2
2.8,1.37,13.29,40.91,2
1.21,1.45,26.61,49.55,0
1.32,0.52,41.9,40.3,0
1.11,1.1,35.62,47.15,0
2.63,2.4,24.08,53.89,3
0.91,1.71,20.31,41.59,0
1.5,2.39,44.27,37.26,2
2.05,0.98,25.17,25.95,0
1.13,1.22,19.33,25.39,0
0.93,1.46,16.63,42.8,0
2.08,0.77,18.44,59.34,3
0.61,1.79,31.57,30.99,0
2.72,1.47,37.27,55.16,3
2.56,1.0,13.43,28.34,2
1.32,1.59,27.26,48.31,0
1.11,1.82,29.05,37.16,0
1.03,1.91,36.18,23.66,0
2.69,2.07,26.13,20.6,2
2.81,2.29,16.01,52.06,3
1.99,0.92,27.71,30.14,0
1.54,1.31,40.12,34.37,0
2.32,0.97,10.41,38.92,1
1.81,0.68,24.6,46.97,0
2.31,0.9,23.07,27.34,0
2.2,1.75,22.9,41.38,0
1.32,2.02,31.74,34.29,2
0.66,1.14,17.33,58.27,3
2.48,1.82,41.58,53.16,3
0.77,1.65,36.55,25.71,0
2.08,0.5,41.1,32.57,0
0.72,0.94,19.3,55.36,3
2.53,0.86,31.0,24.67,2
1.96,1.94,19.08,52.51,3
1.28,1.4,24.47,45.75,0
